"Domain"	"Status"	"Study.Name"	"Genome.Name.Sample.Name"	"Sequencing.Center"	"IMG.Genome.ID."	"Phylum"	"Genus"	"Species"	"NCBI.Taxon.ID"	"RefSeq.Project.ID"	"NCBI.Project.ID"	"Genome.Completeness.."	"Culture.Type"	"Cultured"	"Depth"	"Ecosystem"	"Ecosystem.Category"	"Ecosystem.Subtype"	"Ecosystem.Type"	"Ecotype"	"Habitat"	"Isolation"	"Metabolism"	"Motility"	"Oxygen.Requirement"	"Phenotype"	"Salinity"	"Specific.Ecosystem"	"Sporulation"	"Temperature.Range"	"Genome.Size.....assembled"	"Gene.Count.....assembled"	"GC.....assembled"	"CDS.......assembled"	"rRNA.Count.....assembled"	"tRNA.Count.....assembled"	"Pseudo.Genes..."	"Horizontally.Transferred.."
"GCF_000153685.2_ASM15368v2"	"Bacteria"	"Finished"	"Mycobacterium tuberculosis sequencing- Broad Institute"	"Mycobacterium tuberculosis Haarlem"	"Broad Institute"	641736194	"Actinobacteria"	"Mycobacterium"	"Mycobacterium tuberculosis"	395095	54453	17353	NA	"Isolate"	"Yes"	""	"Host-associated"	""	""	""	""	"Host"	""	""	"Nonmotile"	"Aerobe"	"Pathogen"	""	""	"Nonsporulating"	"Mesophile"	4347292	4376	0.65	98.88	4	45	0	0.27
"GCF_000023625.1_ASM2362v1"	"Bacteria"	"Finished"	"Mycobacterium tuberculosis sequencing- Broad Institute"	"Mycobacterium tuberculosis KZN 1435 (MDR)"	"Broad Institute"	644736391	"Actinobacteria"	"Mycobacterium"	"Mycobacterium tuberculosis"	478434	59069	21055	NA	"Isolate"	"Yes"	""	"Host-associated"	"Human"	"Unclassified"	"Unclassified"	""	"Host"	"Patient in KwaZulu-Natal, South Africa"	""	"Nonmotile"	"Aerobe"	"Pathogen"	""	"Unclassified"	"Nonsporulating"	"Mesophile"	4398250	4107	0.66	98.83	3	45	0	0.07
"GCA_000277085.1_ASM27708v1"	"Bacteria"	"Finished"	"Mycobacterium tuberculosis RGTB327"	"Mycobacterium tuberculosis RGTB327"	"Rajiv Gandhi Centre for Biotechnology"	2512564073	"Actinobacteria"	"Mycobacterium"	"Mycobacterium tuberculosis"	1091500	157907	73717	NA	"Isolate"	"Yes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	4380119	3739	0.66	98.72	3	45	0	0.29
"GCF_000224435.1_ASM22443v1"	"Bacteria"	"Finished"	"Mycobacterium tuberculosis sequencing- Broad Institute"	"Mycobacterium tuberculosis CTRI-2"	"Research Institute for Physical-Chemical Medicine of Ministry of Public Health of Russian Federation"	2511231130	"Actinobacteria"	"Mycobacterium"	"Mycobacterium tuberculosis"	707235	161997	43171	NA	"Isolate"	"Yes"	""	"Host-associated"	"Human"	"Unclassified"	"Unclassified"	""	"Host, Human skin"	"Russia"	""	"Nonmotile"	"Aerobe"	""	""	"Unclassified"	"Nonsporulating"	"Mesophile"	4398525	3996	0.66	98.8	3	45	0.05	0.05
"GCA_000013925.1_ASM1392v1"	"Bacteria"	"Finished"	"Mycobacterium ulcerans Agy99"	"Mycobacterium ulcerans Agy99"	"Institut Pasteur"	642555140	"Actinobacteria"	"Mycobacterium"	"Mycobacterium ulcerans"	362242	62939	16230	NA	"Isolate"	"Yes"	""	"Host-associated"	"Human"	"Unclassified"	"Unclassified"	""	"Fresh water, Host"	"ulcerative lesion on the right elbow of a female patient from the Ga district of Ghana in 1999"	""	"Nonmotile"	"Aerobe"	"Antibiotic resistant, Pathogen"	""	"Unclassified"	"Nonsporulating"	"Mesophile"	5805761	4306	0.65	98.49	3	45	0	0.26
"GCF_000069185.1_ASM6918v1"	"Bacteria"	"Finished"	"Mycobacterium abscessus CIP 104536"	"Mycobacterium abscessus CIP 104536"	"CEA Genoscope"	641522641	"Actinobacteria"	"Mycobacterium"	"Mycobacterium abscessus"	36809	61613	15691	NA	"Isolate"	"Yes"	""	"Host-associated"	"Human"	"Unclassified"	"Skin"	""	"Host"	"human knee infection with subcutaneous abscess-like lesions"	""	"Nonmotile"	"Aerobe"	"Pathogen"	""	"Unclassified"	"Nonsporulating"	"Mesophile"	5090491	4991	0.64	99	3	47	0	5.03
"GCF_000196675.1_ASM19667v1"	"Bacteria"	"Finished"	"CSP_787574, 1,4-Dioxane-utilizing and Nitrogen-fixing Actinomycete"	"Pseudonocardia dioxanivorans CB1190"	"DOE Joint Genome Institute (JGI)"	651053061	"Actinobacteria"	"Pseudonocardia"	"Pseudonocardia dioxanivorans"	675635	65087	40557	NA	"Isolate"	"Yes"	""	"Engineered"	"Wastewater"	"Unclassified"	"Unclassified"	""	"Fresh water, Sludge, Wastewater"	"Industrial sludge contaminated with 1,4-dioxane"	"Grows on ethers, Nitrogen fixation"	""	"Aerobe"	""	""	"Unclassified"	""	"Mesophile"	7440794	7071	0.73	99.18	9	47	3.05	7.06
"GCF_000062885.1_ASM6288v1"	"Bacteria"	"Finished"	"Saccharopolyspora erythraea NRRL 2338 white"	"Saccharopolyspora erythraea NRRL 2338"	"University of Cambridge"	640069329	"Actinobacteria"	"Saccharopolyspora"	"Saccharopolyspora erythraea"	405948	62947	18489	NA	"Isolate"	"Yes"	""	"Environmental"	"Terrestrial"	"Unclassified"	"Soil"	""	"Soil, Terrestrial"	"soil, Philippines"	""	"Nonmotile"	"Aerobe"	""	""	"Unclassified"	"Sporulating"	"Mesophile"	8212805	7290	0.71	98.74	16	50	0.01	0.34
"GCF_000023245.1_ASM2324v1"	"Bacteria"	"Finished"	"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)"	"Actinosynnema mirum 101, DSM 43827"	"DOE Joint Genome Institute (JGI)"	644736323	"Actinobacteria"	"Actinosynnema"	"Actinosynnema mirum"	446462	58951	19705	NA	"Isolate"	"Yes"	""	"Host-associated"	"Plants"	"Unclassified"	"Unclassified"	""	"Plants"	"Blade of grass from Raritan River NJ, USA"	"Nocardicin A producer"	"Nonmotile"	"Aerobe"	""	""	"Unclassified"	"Sporulating"	"Mesophile"	8248144	7176	0.74	98.94	18	58	2.56	1.51
"GCF_000220945.1_ASM22094v1"	"Bacteria"	"Finished"	"Amycolatopsis mediterranei S699"	"Amycolatopsis mediterranei S699, ATCC 13685"	"University of Delhi"	2511231181	"Actinobacteria"	"Amycolatopsis"	"Amycolatopsis mediterranei"	713604	158689	43503	NA	"Isolate"	"Yes"	""	"Environmental"	"Terrestrial"	"Unclassified"	"Soil"	""	"Soil"	"soil sample from a pine arboretum, France"	""	""	""	""	""	"Unclassified"	""	""	10236779	9639	0.71	99.34	12	52	0	0.22
"GCF_000023865.1_ASM2386v1"	"Bacteria"	"Finished"	"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)"	"Saccharomonospora viridis P101, DSM 43017"	"DOE Joint Genome Institute (JGI)"	644736404	"Actinobacteria"	"Saccharomonospora"	"Saccharomonospora viridis"	471857	59055	20835	NA	"Isolate"	"Yes"	"250 cm"	"Environmental"	"Aquatic"	"Wetlands"	"Freshwater"	""	"Bog, Wetland"	"Irish peat-bog at 250 cm depth"	""	"Nonmotile"	"Aerobe"	"Pathogen"	""	"Bog"	"Sporulating"	"Thermophile"	4308349	3962	0.67	98.59	9	47	1.97	0.23
"GCF_000196835.1_ASM19683v1"	"Bacteria"	"Finished"	"Amycolatopsis mediterranei U32"	"Amycolatopsis mediterranei U32"	"Chinese National Human Genome Center at Shanghai"	648028006	"Actinobacteria"	"Amycolatopsis"	"Amycolatopsis mediterranei"	749927	50565	46889	NA	"Isolate"	"Yes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	10236715	9292	0.71	99.31	12	52	0	2.72
"GCF_000024365.1_ASM2436v1"	"Bacteria"	"Finished"	"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)"	"Nakamurella multipartita Y-104, DSM 44233"	"DOE Joint Genome Institute (JGI)"	644736393	"Actinobacteria"	"Nakamurella"	"Nakamurella multipartita"	479431	59221	29537	NA	"Isolate"	"Yes"	""	"Engineered"	"Wastewater"	"Unclassified"	"Unclassified"	""	"Bioreactor, Sludge"	"Actived sludge cultured in fed-batch reactors"	""	"Nonmotile"	"Aerobe"	""	""	"Unclassified"	"Nonsporulating"	"Mesophile"	6060298	5471	0.71	98.98	6	47	3.2	3.22
"GCF_000025345.1_ASM2534v1"	"Bacteria"	"Finished"	"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)"	"Geodermatophilus obscurus G-20, DSM 43160"	"DOE Joint Genome Institute (JGI)"	646311931	"Actinobacteria"	"Geodermatophilus"	"Geodermatophilus obscurus"	526225	43725	29547	NA	"Isolate"	"Yes"	""	"Environmental"	"Terrestrial"	"Unclassified"	"Soil"	""	"Soil"	"Soil from the Amargosa desert in Nevada"	""	"Motile"	"Aerobe"	""	""	"Desert"	""	"Mesophile"	5322497	5155	0.74	98.86	9	48	5.55	2.97
"GCF_000024545.1_ASM2454v1"	"Bacteria"	"Finished"	"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)"	"Stackebrandtia nassauensis LLR-40K-21, DSM 44728"	"DOE Joint Genome Institute (JGI)"	646564571	"Actinobacteria"	"Stackebrandtia"	"Stackebrandtia nassauensis"	446470	46663	19713	NA	"Isolate"	"Yes"	""	"Environmental"	"Terrestrial"	"Unclassified"	"Soil"	""	"Soil"	"Soil sample from Nassau Bahamas"	""	"Nonmotile"	"Aerobe"	""	""	"Unclassified"	"Nonsporulating"	"Mesophile"	6841557	6541	0.68	99.17	6	47	1.65	1.83
"GCF_000237145.1_ASM23714v1"	"Bacteria"	"Finished"	"Actinoplanes sp. SE50/110"	"Actinoplanes sp. SE50/110"	"Bielefeld University"	2511231151	"Actinobacteria"	"Actinoplanes"	"Actinoplanes sp. SE50/110"	134676	162333	76835	NA	"Isolate"	"Yes"	""	""	""	""	""	""	""	""	""	"Nonmotile"	"Aerobe"	""	""	""	""	"Mesophile"	9239851	8385	0.71	98.63	18	97	0.27	12.07
"GCF_000016425.1_ASM1642v1"	"Bacteria"	"Finished"	"Marine Actinomycetes"	"Salinispora tropica CNB-440"	"DOE Joint Genome Institute (JGI)"	640427140	"Actinobacteria"	"Salinispora"	"Salinispora tropica"	369723	58565	16342	NA	"Isolate"	"Yes"	""	"Environmental"	"Terrestrial"	"Unclassified"	"Geologic"	""	"Marine, Sand"	"Coarse beach sand off the Bahamas"	""	"Nonmotile"	"Aerobe"	"Non-Pathogen, Salinosporamide producer"	""	"Unclassified"	"Sporulating"	"Mesophile"	5183331	4664	0.69	98.33	9	50	1.07	1.99
"GCF_000018265.1_ASM1826v1"	"Bacteria"	"Finished"	"Marine Actinomycetes"	"Salinispora arenicola CNS-205"	"DOE Joint Genome Institute (JGI)"	641228504	"Actinobacteria"	"Salinispora"	"Salinispora arenicola"	391037	58659	17109	NA	"Isolate"	"Yes"	"1 meter"	"Environmental"	"Terrestrial"	"Unclassified"	"Geologic"	""	"Fresh water, Marine, Sand, Sediment"	"Beach sand at a depth of 1 meter from Sweetings Cay in the Bahamas"	""	"Motile"	"Aerobe"	""	""	"Unclassified"	"Sporulating"	"Mesophile"	5786361	5169	0.7	98.78	9	52	3.66	2.73
"GCF_000204155.1_ASM20415v1"	"Bacteria"	"Finished"	"Verrucosispora maris AB-18-032"	"Verrucosispora maris AB-18-032"	"Korea University"	650716103	"Actinobacteria"	"Verrucosispora"	"Verrucosispora maris"	263358	66297	59863	NA	"Isolate"	"Yes"	""	"Environmental"	"Aquatic"	"Oceanic"	"Marine"	""	"Aquatic, Marine, Sediment"	"deep marine sediment sample collected from the East Sea (Sea of Japan)"	""	""	""	""	""	"Sediment"	""	""	6732271	6069	0.71	99.01	9	51	0	2.29
"GCF_000177655.2_ASM17765v2"	"Bacteria"	"Finished"	"CSP_787436, Micromonosporas"	"Micromonospora sp. L5"	"DOE Joint Genome Institute (JGI)"	649633069	"Actinobacteria"	"Micromonospora"	"Micromonospora sp. L5"	648999	45895	38291	NA	"Isolate"	"Yes"	""	"Host-associated"	"Plants"	"Unclassified"	"Rhizoplane"	""	"Soil"	"roots of the Casuarina equisetifolia in Irapuato, Mexico"	"Nitrogen fixation"	"Nonmotile"	"Aerobe"	""	""	"Unclassified"	"Sporulating"	"Mesophile"	6962533	6326	0.73	98.99	9	53	1.79	0.7
"GCF_000092645.1_ASM9264v1"	"Bacteria"	"Finished"	"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)"	"Thermobispora bispora R51, DSM 43833"	"DOE Joint Genome Institute (JGI)"	646564581	"Actinobacteria"	"Thermobispora"	"Thermobispora bispora"	469371	48999	20737	NA	"Isolate"	"Yes"	"about 34 meters"	"Engineered"	"Solid waste"	"Unclassified"	"Solid animal waste"	""	"Animal manure"	"Decaying manure"	""	"Nonmotile"	"Aerobe"	""	""	"Unclassified"	"Sporulating"	"Thermophile"	4189976	3661	0.72	98.22	10	53	1.37	0.85
"GCF_000024865.1_ASM2486v1"	"Bacteria"	"Finished"	"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)"	"Streptosporangium roseum NI 9100, DSM 43021"	"DOE Joint Genome Institute (JGI)"	646311958	"Actinobacteria"	"Streptosporangium"	"Streptosporangium roseum"	479432	42521	21083	NA	"Isolate"	"Yes"	""	"Environmental"	"Terrestrial"	"Unclassified"	"Soil"	""	"Soil"	"Vegetable garden soil"	""	"Nonmotile"	"Aerobe"	""	""	"Unclassified"	"Sporulating"	"Mesophile"	10369518	9510	0.71	99.06	24	62	4.69	1.82
"GCF_000092985.1_ASM9298v1"	"Bacteria"	"Finished"	"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)"	"Nocardiopsis dassonvillei dassonvillei DSM 43111"	"DOE Joint Genome Institute (JGI)"	646564557	"Actinobacteria"	"Nocardiopsis"	"Nocardiopsis dassonvillei"	446468	49483	19709	NA	"Isolate"	"Yes"	""	"Environmental"	"Terrestrial"	"Unclassified"	"Soil"	""	"Soil"	"soil"	""	""	"Aerobe"	"Lacks Mycolic acids, Pathogen"	""	"Unclassified"	""	"Mesophile"	6543312	5647	0.73	98.64	15	60	1.29	0.12
"GCF_000012405.1_ASM1240v1"	"Bacteria"	"Finished"	"Thermobifida fusca YX"	"Thermobifida fusca YX"	"DOE Joint Genome Institute (JGI)"	637000319	"Actinobacteria"	"Thermobifida"	"Thermobifida fusca"	269800	57703	94	NA	"Isolate"	"Yes"	""	"Engineered"	"Solid waste"	"Unclassified"	"Composting"	""	"Host, Self-heated organic materials"	"compost pile in the 1970's"	"Cellulose degrader, Degrades organic material"	"Nonmotile"	"Aerobe"	"Pathogen"	""	"Unclassified"	"Sporulating"	"Thermophile"	3642249	3195	0.68	97.56	12	52	0.22	3.04
"GCF_000023265.1_ASM2326v1"	"Bacteria"	"Finished"	"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)"	"Acidimicrobium ferrooxidans ICP, DSM 10331"	"DOE Joint Genome Institute (JGI)"	644736322	"Actinobacteria"	"Acidimicrobium"	"Acidimicrobium ferrooxidans"	525909	59215	29525	NA	"Isolate"	"Yes"	""	"Environmental"	"Aquatic"	"Unclassified"	"Thermal springs"	""	"Aquatic, Fresh water, Hot spring"	"Hot spring run-off in Iceland"	"Iron oxidizer"	"Motile"	"Aerobe"	"Acidophile"	""	"Unclassified"	"Nonsporulating"	"Thermophile"	2158157	2092	0.68	97.42	8	46	3.54	63.86
"GCF_000025265.1_ASM2526v1"	"Bacteria"	"Finished"	"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)"	"Conexibacter woesei ID131577, DSM 14684"	"DOE Joint Genome Institute (JGI)"	646311917	"Actinobacteria"	"Conexibacter"	"Conexibacter woesei"	469383	43467	20745	NA	"Isolate"	"Yes"	""	"Environmental"	"Terrestrial"	"Unclassified"	"Soil"	""	"Soil"	"Forest soil in Gerenzano Italy"	""	"Motile"	"Obligate aerobe"	""	""	"Forest soil"	"Nonsporulating"	"Mesophile"	6359369	6001	0.73	99.15	3	45	0.6	31.73
"GCF_000014185.1_ASM1418v1"	"Bacteria"	"Finished"	"Rubrobacter xylanophilus DSM 9941"	"Rubrobacter xylanophilus DSM 9941"	"DOE Joint Genome Institute (JGI)"	637000248	"Actinobacteria"	"Rubrobacter"	"Rubrobacter xylanophilus"	266117	58057	10670	NA	"Isolate"	"Yes"	""	"Engineered"	"Wastewater"	"Unclassified"	"Industrial wastewater"	""	"Soil"	"Thermally polluted industrial runoff from a carpet factory in Wilton, Wiltshire, UK"	""	"Nonmotile"	"Aerobe"	"Non-Pathogen, Radiation resistant"	""	"Unclassified"	"Nonsporulating"	"Thermophile"	3225748	3283	0.7	97.99	3	46	2.35	31.16
"GCF_000025185.1_ASM2518v1"	"Bacteria"	"Finished"	"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)"	"Pirellula staleyi DSM 6068"	"DOE Joint Genome Institute (JGI)"	646311948	"Planctomycetes"	"Pirellula"	"Pirellula staleyi"	530564	43209	29845	NA	"Isolate"	"Yes"	""	"Environmental"	"Aquatic"	"Unclassified"	"Freshwater"	""	"Aquatic, Fresh water"	"Freshwater Lake Lansing, Michigan"	""	"Motile"	"Aerobe"	""	""	"Unclassified"	"Nonsporulating"	"Mesophile"	6196199	4825	0.57	98.92	3	46	1.16	14.9
"GCF_000196115.1_ASM19611v1"	"Bacteria"	"Finished"	"Rhodopirellula genome sequencing - Max Planck Institute for Marine Microbiology"	"Rhodopirellula baltica SH 1"	"Max Planck Institute"	637000236	"Planctomycetes"	"Rhodopirellula"	"Rhodopirellula baltica"	243090	61589	413	NA	"Isolate"	"Yes"	""	"Environmental"	"Aquatic"	"Coastal"	"Marine"	""	"Marine"	"Kieler Bucht (a fiord near the city of Kiel in Germany)"	""	"Motile"	"Aerobe"	""	""	"Unclassified"	"Nonsporulating"	"Mesophile"	7145576	7414	0.55	98.8	3	76	0	33.11
"GCF_000092105.1_ASM9210v1"	"Bacteria"	"Finished"	"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)"	"Planctomyces limnophilus Mu 290, DSM 3776"	"DOE Joint Genome Institute (JGI)"	646564559	"Planctomycetes"	"Planctomyces"	"Planctomyces limnophilus"	521674	48643	29411	NA	"Isolate"	"Yes"	"sea level"	"Environmental"	"Aquatic"	"Unclassified"	"Freshwater"	""	"Aquatic, Fresh water"	"surface lake water, West Germany"	""	"Motile"	"Aerobe"	""	""	"Unclassified"	"Nonsporulating"	"Mesophile"	5460085	4372	0.54	98.44	4	61	1.05	12.63
"GCA_000165715.3_ASM16571v3"	"Bacteria"	"Finished"	"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)"	"Planctomyces brasiliensis DSM 5305"	"DOE Joint Genome Institute (JGI)"	649633083	"Planctomycetes"	"Planctomyces"	"Planctomyces brasiliensis"	756272	60583	47863	NA	"Isolate"	"Yes"	"surface water"	"Environmental"	"Aquatic"	"Saline"	"Non-marine Saline and Alkaline"	""	"Aquatic, Saline water"	"Water from salt pit, Lagoa Vermelha, Brazil"	""	"Motile"	"Aerobe"	""	"Halotolerant"	"Unclassified"	"Nonsporulating"	"Mesophile"	6006602	4865	0.56	98.89	6	45	1.25	13.46
"GCF_000186345.1_ASM18634v1"	"Bacteria"	"Finished"	"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)"	"Isosphaera pallida IS1B, ATCC 43644"	"DOE Joint Genome Institute (JGI)"	649633058	"Planctomycetes"	"Isosphaera"	"Isosphaera pallida"	575540	62207	32825	NA	"Isolate"	"Yes"	""	"Environmental"	"Aquatic"	"Unclassified"	"Thermal springs"	""	"Aquatic, Hot spring"	"algal mat from Kah-nee-tah Hot Spring in Oregon"	""	"Motile"	"Obligate aerobe"	""	""	"Unclassified"	"Nonsporulating"	"Mesophile"	5529304	3823	0.62	98.43	9	48	1.07	16.53
"GCA_000242455.3_ASM24245v3"	"Bacteria"	"Finished"	"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)"	"Singulisphaera acidiphila MOB10, DSM 18658"	"DOE Joint Genome Institute (JGI)"	2509601004	"Planctomycetes"	"Singulisphaera"	"Singulisphaera acidiphila"	886293	81777	52461	NA	"Isolate"	"Yes"	"0-10cm"	"Environmental"	"Aquatic"	"Wetlands"	"Freshwater"	""	"Acidic wetlands, Bog, Peat, Wetland"	"upper (0?10 cm) oxic layers of Obukhovskoe, Yaloslavl oblast, (Ombrotrophic Sphagnum peat bog). Water: pH of 4.2 and a conductivity of 20  ?S.  The vegetation consists of  Sphagnum angustifolium, Sphagnum fuscum, Carex spp.,  Oxicoccus  sp., and  Vaccinium  sp."	""	"Nonmotile"	"Microaerophilic"	""	""	"Unclassified"	""	"Mesophile"	9755686	7683	0.62	98.61	24	67	4.23	24.53
"GCF_000237205.1_ASM23720v1"	"Bacteria"	"Finished"	"Simkania negevensis Z"	"Simkania negevensis Z, ATCC VR-1471"	"University of Vienna"	650716085	"Chlamydiae"	"Simkania"	"Simkania negevensis"	331113	68451	49035	NA	"Isolate"	"Yes"	""	"Engineered"	"Lab synthesis"	"Unclassified"	"Unclassified"	""	"Host, Wastewater"	"contaminated Vero cells passaged in Israel"	""	""	""	"Pathogen"	""	"Unclassified"	""	"Mesophile"	2628375	2560	0.42	98.36	3	35	0	23.05
"GCF_000011565.1_ASM1156v1"	"Bacteria"	"Finished"	"Candidatus Protochlamydia amoebophila UWE25"	"Candidatus Protochlamydia amoebophila UWE25"	"University of Vienna"	637000059	"Chlamydiae"	"Candidatus Protochlamydia"	"Candidatus Protochlamydia amoebophila"	264201	58079	10700	NA	"Isolate"	"Yes"	""	"Host-associated"	"Protozoa"	"Unclassified"	"Unclassified"	""	"Host"	"Environmental isolate, endoSymbiotic of Acanthamoeba sp."	""	""	""	"Pathogen"	""	"Unclassified"	""	"Mesophile"	2414465	2079	0.35	97.69	9	35	0	20.01
"GCF_000092785.1_ASM9278v1"	"Bacteria"	"Finished"	"Waddlia chondrophila WSU 86-1044"	"Waddlia chondrophila WSU 86-1044"	"University of Lausanne"	646564588	"Chlamydiae"	"Waddlia"	"Waddlia chondrophila"	716544	49531	43761	NA	"Isolate"	"Yes"	""	"Host-associated"	"Mammals"	"Unclassified"	"Unclassified"	""	"Host"	"Pooled liver/lung homogenate from the aborted fetus of a 19-month-old primigravid Holstein cow during month 3 of gestation"	""	""	""	""	""	"Unclassified"	""	""	2131905	1999	0.44	97.85	6	37	0	19.26
"GCF_000253035.1_ASM25303v1"	"Bacteria"	"Finished"	"Parachlamydia acanthamoebae UV7"	"Parachlamydia acanthamoebae UV7"	"J. Craig Venter Institute (JCVI)"	650716071	"Chlamydiae"	"Parachlamydia"	"Parachlamydia acanthamoebae"	765952	68335	49033	NA	"Isolate"	"Yes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mesophile"	3072383	2841	0.39	98.13	10	40	0	1.97
"GCF_000006685.1_ASM668v1"	"Bacteria"	"Finished"	"Chlamydia muridarum MoPn / Nigg"	"Chlamydia muridarum MoPn / Nigg"	"J. Craig Venter Institute (JCVI)"	637000062	"Chlamydiae"	"Chlamydia"	"Chlamydia muridarum"	243161	57785	229	NA	"Isolate"	"Yes"	""	"Host-associated"	"Mammals"	"Unclassified"	"Unclassified"	""	"Host"	"Normal mice, 1939"	""	"Nonmotile"	""	"Pathogen"	""	"Unclassified"	""	"Mesophile"	1080451	957	0.4	95.19	6	37	0	0.84
"GCF_000226605.1_ASM22660v1"	"Bacteria"	"Finished"	"Chlamydia trachomatis A2497"	"Chlamydia trachomatis A2497"	"Wellcome Trust Sanger Institute"	2511231082	"Chlamydiae"	"Chlamydia"	"Chlamydia trachomatis"	580047	59329	32651	NA	"Isolate"	"Yes"	""	"Host-associated"	"Human"	"Unclassified"	"Unclassified"	""	"Host"	"2.5-year-old with intense active trachoma in Tanzania."	""	"Nonmotile"	""	"Pathogen"	""	"Unclassified"	""	"Mesophile"	1051827	939	0.41	96.06	6	31	1.6	0.11
"GCF_000011165.1_ASM1116v1"	"Bacteria"	"Finished"	"Chlamydophila pneumoniae J138"	"Chlamydophila pneumoniae J138"	"RIKEN"	637000070	"Chlamydiae"	"Chlamydophila"	"Chlamydophila pneumoniae"	138677	57829	257	NA	"Isolate"	"Yes"	""	"Host-associated"	"Human"	"Unclassified"	"Skin"	""	"Host, Pharyngeal mucosa"	"Pharyngeal mucosa of a 5 year old male patient with acute bronchitis in Japan in 1994"	""	"Nonmotile"	""	"Obligate intracellular Pathogen"	""	"Unclassified"	""	"Mesophile"	1226565	1113	0.41	96.05	3	38	0	0.09
"GCF_000204135.1_ASM20413v1"	"Bacteria"	"Finished"	"Chlamydophila pecorum E58"	"Chlamydophila pecorum E58"	"University of Maryland School of Medicine"	650716022	"Chlamydiae"	"Chlamydophila"	"Chlamydophila pecorum"	331635	66295	62893	NA	"Isolate"	"Yes"	""	"Host-associated"	"Mammals"	"Unclassified"	"Unclassified"	""	"Host"	"clinical specimen - animal (calf brain, herd in Iowa)"	""	"Nonmotile"	""	"Pathogen"	""	"Unclassified"	""	"Mesophile"	1106197	1029	0.41	96.02	3	38	0	0.29
"GCF_000026025.1_ASM2602v1"	"Bacteria"	"Finished"	"Chlamydophila abortus S26/3"	"Chlamydophila abortus S26/3"	"Wellcome Trust Sanger Institute"	637000065	"Chlamydiae"	"Chlamydophila"	"Chlamydophila abortus"	218497	57963	355	NA	"Isolate"	"Yes"	""	"Host-associated"	"Mammals"	"Unclassified"	"Unclassified"	""	"Host"	"Enzootic abortion case in sheep"	""	"Nonmotile"	""	"Intracellular, Parasite, Pathogen"	""	"Unclassified"	""	"Mesophile"	1144377	999	0.4	95.6	3	38	2.3	0.2
"GCF_000191925.1_ASM19192v1"	"Bacteria"	"Finished"	"Chlamydophila psittaci 6BC"	"Chlamydophila psittaci 6BC"	"Leibniz Institute"	650716023	"Chlamydiae"	"Chlamydophila"	"Chlamydophila psittaci"	331636	63621	63149	NA	"Isolate"	"Yes"	""	"Host-associated"	"Birds"	"Unclassified"	"Unclassified"	""	"Bird, Host, Human"	"isolated originally from a parakeet in California in 1941"	""	"Nonmotile"	""	"Pathogen"	""	"Unclassified"	""	"Mesophile"	1179213	1016	0.39	95.96	3	38	0	0.1
"GCF_000007605.1_ASM760v1"	"Bacteria"	"Finished"	"Chlamydophila caviae GPIC"	"Chlamydophila caviae GPIC"	"J. Craig Venter Institute (JCVI)"	637000066	"Chlamydiae"	"Chlamydophila"	"Chlamydophila caviae"	227941	57783	228	NA	"Isolate"	"Yes"	""	"Host-associated"	"Mammals"	"Unclassified"	"Unclassified"	""	"Host"	"Guinea pig conjunctiva"	""	"Nonmotile"	""	"Pathogen"	""	"Unclassified"	""	"Mesophile"	1181356	1050	0.39	95.71	4	38	0	0.86
"GCF_000009945.1_ASM994v1"	"Bacteria"	"Finished"	"Chlamydophila felis Fe/C-56"	"Chlamydophila felis Fe/C-56"	"Yamaguchi University, Kitasato University"	637000067	"Chlamydiae"	"Chlamydophila"	"Chlamydophila felis"	264202	57971	370	NA	"Isolate"	"Yes"	""	"Host-associated"	"Mammals"	"Unclassified"	"Unclassified"	""	"Host"	"isolated from a cat with conjunctivitis."	""	"Nonmotile"	""	"Pathogen"	""	"Unclassified"	""	"Mesophile"	1173791	1057	0.39	95.84	3	38	0	1.42
